N,Morocha309
1,444
2,444.2461983
3,444.4908378
4,444.7323596
5,444.9692051
6,445.1998153
7,445.4226314
8,445.6360947
9,445.8386463
10,446.0287275
11,446.2047794
12,446.3652432
13,446.5085601
14,446.6331713
15,446.7375179
16,446.8200413
17,446.8791825
18,446.9133828
19,446.9210833
20,446.9007252
21,446.8507498
22,446.7695982
23,446.6557116
24,446.5075313
25,446.3234983
26,446.1020539
27,445.8416392
28,445.5406956
29,445.1976641
30,444.8109859
31,444.3791023
32,443.9004649
33,443.3761651
34,442.8132069
35,442.2193844
36,441.6024917
37,440.970323
38,440.3306724
39,439.6913338
40,439.0601016
41,438.4447697
42,437.8531323
43,437.2929835
44,436.7721174
45,436.2983281
46,435.8794097
47,435.5231563
48,435.2373621
49,435.0298211
50,434.9083274
51,434.8806752
52,434.9546585
53,435.1380716
54,435.4387084
55,435.8643631
56,436.4228298
57,437.1219026
58,437.9693756
59,438.9730429
60,440.1406987
61,441.480137
62,442.9991519
63,444.705264
64,446.5955063
65,448.6532932
66,450.8611228
67,453.2014934
68,455.6569031
69,458.2098499
70,460.8428321
71,463.5383477
72,466.278895
73,469.0469721
74,471.8250771
75,474.5957081
76,477.3413634
77,480.044541
78,482.6877392
79,485.2534559
80,487.7241895
81,490.082438
82,492.3106995
83,494.3914723
84,496.3072545
85,498.0405442
86,499.5738395
87,500.8896386
88,501.9704397
89,502.7987409
90,503.3570402
91,503.627836
92,503.5936263
93,503.2369093
94,502.5416612
95,501.5142458
96,500.1782492
97,498.5576893
98,496.676584
99,494.5589514
100,492.2288093
101,489.7101757
102,487.0270685
103,484.2035057
104,481.2635052
105,478.231085
106,475.130263
107,471.9850571
108,468.8194853
109,465.6575655
110,462.5233157
111,459.4407539
112,456.4338978
113,453.5267656
114,450.7433751
115,448.1077443
116,445.6438911
117,443.3758335
118,441.3275894
119,439.5231767
120,437.9866134
121,436.7419175
122,435.8131068
123,435.2241994
124,434.9992131
125,435.1581684
126,435.6914698
127,436.5762585
128,437.7896145
129,439.3086183
130,441.11035
131,443.1718899
132,445.4703184
133,447.9827155
134,450.6861617
135,453.5577372
136,456.5745222
137,459.713597
138,462.9520419
139,466.266937
140,469.6353628
141,473.0343995
142,476.4411273
143,479.8326264
144,483.1859772
145,486.4782599
146,489.6865548
147,492.7879421
148,495.7595021
149,498.5783151
150,501.2214613
151,503.666021
152,505.8890745
153,507.8677019
154,509.5789837
155,511
156,512.114077
157,512.9294435
158,513.4605745
159,513.7219447
160,513.7280288
161,513.4933017
162,513.0322381
163,512.3593129
164,511.4890009
165,510.4357768
166,509.2141154
167,507.8384915
168,506.3233799
169,504.6832555
170,502.9325929
171,501.085867
172,499.1575526
173,497.1621245
174,495.1140574
175,493.0278262
176,490.9179056
177,488.7987704
178,486.6848955
179,484.5907556
180,482.5308255
181,480.51958
182,478.5714939
183,476.701042
184,474.9226991
185,473.25094
186,471.7002176
187,470.2805814
188,468.9922683
189,467.8341818
190,466.8052258
191,465.9043041
192,465.1303204
193,464.4821786
194,463.9587824
195,463.5590355
196,463.2818419
197,463.1261052
198,463.0907292
199,463.1746177
200,463.3766746
201,463.6958035
202,464.1309082
203,464.6808926
204,465.3446604
205,466.1211154
206,467.0091614
207,468.0077021
208,469.1156413
209,470.3318829
210,471.6553305
211,473.0848881
212,474.6194592
213,476.2579478
214,477.9992577
215,479.8422925
216,481.7859561
217,483.8290759
218,485.9675166
219,488.1932935
220,490.4981651
221,492.8738894
222,495.3122247
223,497.8049293
224,500.3437613
225,502.9204791
226,505.5268407
227,508.1546044
228,510.7955286
229,513.4413713
230,516.0838908
231,518.7148453
232,521.3259931
233,523.9090924
234,526.4559014
235,528.9581783
236,531.4076814
237,533.7961689
238,536.1153989
239,538.3571299
240,540.5131198
241,542.5751271
242,544.5349098
243,546.3842263
244,548.1148347
245,549.7184934
246,551.1869604
247,552.511994
248,553.6859744
249,554.7105736
250,555.5946175
251,556.3471165
252,556.9770809
253,557.4935211
254,557.9054475
255,558.2218704
256,558.4518001
257,558.6042471
258,558.6882217
259,558.7127342
260,558.686795
261,558.6194145
262,558.519603
263,558.3963709
264,558.2587285
265,558.1156862
266,557.9762544
267,557.8494434
268,557.7442636
269,557.6697253
270,557.6348389
271,557.6486147
272,557.7200631
273,557.8581945
274,558.0720193
275,558.3705477
276,558.7627901
277,559.257757
278,559.8644586
279,560.5907962
280,561.4364805
281,562.3975501
282,563.4700263
283,564.6499302
284,565.933283
285,567.3161059
286,568.7944202
287,570.364247
288,572.0216074
289,573.7625228
290,575.5830143
291,577.479103
292,579.4468103
293,581.4821572
294,583.581165
295,585.7398549
296,587.954248
297,590.2203656
298,592.5342289
299,594.891859
300,597.2892772
301,599.7225046
302,602.1875624
303,604.6804719
304,607.1972542
305,609.7339305
306,612.2865221
307,614.85105
308,617.4235356
309,620
