NNP3,JuanitaNET,GuapaNET,SolNET,MorocaNET,Fer0daNET,MartinaNET,LeticiaNET,JuanitaAM,GuapaAM,SolAM,MorocaAM,Fer0daAM,MartinaAM,LeticiaAM,JuanitaPM,GuapaPM,SolPM,MorocaPM,Fer0daPM,MartinaPM,LeticiaPM
1,13.4,19,16.4,12.8,19,0,16.4,10,8,11.2,8.8,15,,6,3.4,11,5.2,4,4,,10.4
2,6,20.8,13.4,23,25.6,0,19.2,2,8.8,7.6,13,14,,7.6,4,12,5.8,10,11.6,,11.6
3,13,16,13.2,38,22,0,17.6,8,8,7.6,18,14.6,,5.8,5,8,5.6,20,7.4,,11.8
4,11,22,16,22,21,0,16.2,7,10,12.4,14,10,,4.6,4,12,3.6,8,11,,11.6
5,14,20.2,13.7,25.4,3,0,17.2,9,7,7.1,17.4,1.6,,5.2,5,13.2,6.6,8,1.4,,12
6,16,20,15.2,24,22.6,0,17,10,6.2,10,18,13.4,,5,6,13.8,5.2,6,9.2,,12
7,14.8,22,15.2,22,10.3,0,18.2,11,8,9,15,1.3,,6.8,3.8,14,6.2,7,9,,11.4
8,5.8,23.2,11.6,23.2,25.8,10.8,18.6,2,8.2,7.4,15,16.8,5.6,7,3.8,15,4.2,8.2,9,5.2,11.6
9,14.8,20.8,13.2,25.6,25.4,10,20,8.8,6,9,16.8,13.8,5,7,6,14.8,4.2,8.8,11.6,5,13
10,8.4,21.8,12.8,26.8,24.3,17.2,19.8,5.4,7.8,7.8,17.8,15.3,8,6.8,3,14,5,9,9,9.2,13
11,9,16,10,23,22.3,23,20.2,6,3,6.8,16,14.3,15,7.2,3,13,3.2,7,8,8,13
12,8,19.8,10.4,32.5,24.2,22.5,15.4,5,6.2,7,14.5,14,13.5,8,3,13.6,3.4,18,10.2,9,7.4
13,14,14,12.2,27.2,27,23,21.6,10,8,8.4,14.8,18,15,7.6,4,6,3.8,12.4,9,8,14
14,15.6,25,13.8,24.2,26.6,20.7,18,9,11,9.8,16.4,17.6,15.4,7,6.6,14,4,7.8,9,5.3,11
15,12,23,12.4,25.8,27,19.2,20.6,8,9,8.4,17.2,16,14,7.2,4,14,4,8.6,11,5.2,13.4
16,14,20.6,13.2,22.6,24.7,21.8,21.2,9,7.6,7.6,14.8,17.4,16.8,8,5,13,5.6,7.8,7.3,5,13.2
17,17.2,20,11.6,22.6,23,27.6,15,10,6,7.2,15,17,19,7,7.2,14,4.4,7.6,6,8.6,8
